filename,modified_time_iso,unix_timestamp,lidar_csv,lidar_unix,delta_sec
frame_00.png,2025-06-16T14:47:32.005606,1750103252.0,cam1_scan_99.csv,1750103252.0,0.0
frame_01.png,2025-06-16T14:47:32.385709,1750103252.0,cam1_scan_99.csv,1750103252.0,0.0
frame_02.png,2025-06-16T14:47:32.739858,1750103252.0,cam1_scan_99.csv,1750103252.0,0.0
frame_03.png,2025-06-16T14:47:33.108376,1750103253.0,cam1_scan_109.csv,1750103253.0002456,0.0002455711364746094
frame_04.png,2025-06-16T14:47:33.462030,1750103253.0,cam1_scan_109.csv,1750103253.0002456,0.0002455711364746094
frame_05.png,2025-06-16T14:47:33.798708,1750103253.0,cam1_scan_109.csv,1750103253.0002456,0.0002455711364746094
frame_06.png,2025-06-16T14:47:34.182000,1750103254.0,cam1_scan_119.csv,1750103253.999816,0.00018405914306640625
frame_07.png,2025-06-16T14:47:34.546561,1750103254.0,cam1_scan_119.csv,1750103253.999816,0.00018405914306640625
frame_08.png,2025-06-16T14:47:34.867500,1750103254.0,cam1_scan_119.csv,1750103253.999816,0.00018405914306640625
frame_09.png,2025-06-16T14:47:35.217465,1750103255.0,cam1_scan_129.csv,1750103254.999569,0.000431060791015625
